State,Seqno,Code,Distributor Name,Place,Entire District Coverage,Partial District Coverage,Area (Office Name),No of Coupons 
CHHATTISGARH,CHG01,AMP0301,LUCKY DRESSES,AMBIKAPUR,"BALRAMPUR ,JASHPUR,KOREA ,SURAJPUR",,,30
CHHATTISGARH,CHG02,AMP0401,MAA GAYATRI GARMENTS,AMBIKAPUR,"BALRAMPUR ,JASHPUR,KOREA ,SURAJPUR",,,80
CHHATTISGARH,CHG03,AMP0200,MAA SHERAWALI GARMENT,AMBIKAPUR,"BALRAMPUR ,JASHPUR,KOREA ,SURAJPUR",,,50
CHHATTISGARH,CHG04,RAI1700,SONU MONU HOSIERY,BEMETARA,"BEMETARA, KABIRDHAM",,,20
CHHATTISGARH,CHG05,BLA0001,JASWANI ENTERPRISES,BHILAI,DURG,,,40
CHHATTISGARH,CHG06,DUR0000,NAMDEV SALES CORPORATION,DURG,DURG,,,60
CHHATTISGARH,CHG07,DUR0200,T.M.DISTRIBUTORS,BHILAI,DURG,,,140
CHHATTISGARH,CHG08,BIL0000,BHARAT HOSIERY,BILASPUR,"BILASPUR,GAURELLA PENDRA MARWAHI,JANJGIR-CHAMPA,KORBA,MUNGELI,RAIGARH,KABIRDHAM,BALODA BAZAR,
SURGUJA,BALRAMPUR,JASHPUR,.SURAJPUR",,,1100
CHHATTISGARH,CHG09,DTR0000,BEAUTY PALACE,DHAMTARI,"DHAMTARI ,KANKER ,BASTAR,KONDAGAON",,,170
CHHATTISGARH,CHG10,DTR0300,ASHIRWAD FABRICS,DHAMTARI,"DHAMTARI ,KANKER ,BASTAR",,,30
CHHATTISGARH,CHG11,JAG0200,RAHUL HOSIERY,JAGDALPUR,"BASTAR,BIJAPUR,DANTEWADA,KONDAGAON,NARAYANPUR, SUKMA",,,170
CHHATTISGARH,CHG12,KOG0000,G TEX,KONDAGAON,"KONDAGAON,NARAYANPUR",,,130
CHHATTISGARH,CHG13,KRB0100,BALAJI COLLECTIONS,KORBA,KORBA,,,110
CHHATTISGARH,CHG14,MUG0000,MAYUR TREDERS,MUNGELI,"MUNGELI, KABIRDHAM",,,130
CHHATTISGARH,CHG15,AIL0000,SANDEEP KUMAR AGARWAL,NAILA,JANJGIR-CHAMPA,,,140
CHHATTISGARH,CHG16,NAY0000,KAKA HOSIERY,NAYAPARA RAJIM,GARIYABAND,,,80
CHHATTISGARH,CHG17,PGA0001,B.M.HOSIERY,PATHALGAON,"JASHPUR,SURGUJA",,,80
CHHATTISGARH,CHG18,RRH0200,RADHESHYAM AGRAWAL,RAIGARH,"MAHASAMUND, RAIGARH , JANJGIR-CHAMPA",,,320
CHHATTISGARH,CHG19,RRH0100,SHRIRAM HOSIERY,RAIGARH,"MAHASAMUND, RAIGARH , JANJGIR-CHAMPA",,,190
CHHATTISGARH,CHG20,RRH0102,SHRIRAM TEXTILES,RAIGARH,"MAHASAMUND, RAIGARH , JANJGIR-CHAMPA",,,350
CHHATTISGARH,CHG21,RAI0100,BROADWAY HOSIERY STORE,RAIPUR,"RAIPUR ,MAHASAMUND,DURG,GARIYABAND,BALODA BAZAR,","KANKER, RAIGARH","Abhanpur B.O, Sarangarh SO, Pakhanjore Camp S.O",500
CHHATTISGARH,CHG22,RAI2600,KAWAR HOSIERY,RAIPUR,"RAIPUR ,MAHASAMUND,DURG,GARIYABAND,BALODA BAZAR,","KANKER, RAIGARH","Abhanpur B.O, Sarangarh SO, Pakhanjore Camp S.O",90
CHHATTISGARH,CHG23,RAI0500,KHOOBSURAT GARMENTS,RAIPUR,"RAIPUR ,MAHASAMUND,DURG,GARIYABAND,BALODA BAZAR,","KANKER, RAIGARH","Abhanpur B.O, Sarangarh SO, Pakhanjore Camp S.O",50
CHHATTISGARH,CHG24,RAI2700,VARDHMAN TRADERS,RAIPUR,"RAIPUR ,MAHASAMUND",,,15
CHHATTISGARH,CHG25,RAI1600,A.V. COLLECTION,RAIPUR,"RAIPUR ,MAHASAMUND",,,20
CHHATTISGARH,CHG26,RAI0301,CHANDA ENTERPRISES,RAIPUR,"RAIPUR ,MAHASAMUND",,,90
CHHATTISGARH,CHG27,RAI0001,AJAY GARMENTS,RAIPUR,"RAIPUR ,MAHASAMUND",,,25
CHHATTISGARH,CHG28,RUN0000,SANJAY BROTHERS,RAJNANDGAON,"RAJNANDGAON, BALOD, BASTAR",,,100
CHHATTISGARH,CHG29,SHO0001,GULJARILAL SITARAM,SHEORINARAYAN,JANJGIR-CHAMPA,,,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
