CODE,"ENTIRE DISTRICT COVERAGE"
PLW0000,PALWAL
FAR0000,FARIDABAD
NUL0000,MAHENDRAGARH
PPT0100,PANIPAT
PPT0200,PANIPAT
KRA0001,KURUKSHTRA
KAA0000,KARNAL
AMA0800,"AMBALA,AMBALA CITY"
AMA0000,"AMBALA,AMBALA CITY"
YAM0000,YAMUNANAGAR
YAM0200,YAMUNANAGAR
SON0200,SONIPAT
BAH0000,"BHIWANI,JHAJJAR"
RTA0001,"BHIWANI,JHAJJAR,ROHTAK"
CDR0001,"BHIWANI DISTRICT, JHAJJAR, MAHENDRAGARH"
JIN0000,JIND
RRI0100,REWARI
KAI0201,KAITHAL
GUR0100,GURGAON
HIS0100,"HISSAR,FATEHABAD"
SIR0000,"SIRSA, FATEHABAD"
RTA0100,ROHTAK
AMA0200,"AMBALA,AMBALA CITY"
GUR0300,GURGAON
KRA0000,KURUKSHTRA
