CODE,ENTIRE DISTRICT COVERAGE
KNN0300,"KANNUR, KASARAGOD, KASARGOD"
KNN0700,"KANNUR, KASARAGOD, KASARGOD"
KOZ0500,"KOZHIKODE, WAYANAD"
MAM0600,"MALAPPURAM,MALAPPURM"
THR1200,"PALAKKAD, THRISSUR"
KOC0700,"ERNAKULAM, IDUKKI, ALAPPUZHA"
ERN0400,"KANNUR, KASARAGOD, KASARGOD,KOZHIKODE, WAYANAD, MALAPPURAM,MALAPPURM, PALAKKAD, THRISSUR, ERNAKULAM, IDUKKI, ALAPPUZHA, PATHANAMTHITTA, KOLLAM, THIRUVANANTHAPURAM, KOTTAYAM"
ALP0100,"ALAPPUZHA, PATHANAMTHITTA"
KOL0000,KOLLAM
KOL2100,"KOLLAM, ALAPPUZHA, PATHANAMTHITTA"
TRM0800,THIRUVANANTHAPURAM
TRM0700,"THIRUVANANTHAPURAM, KOLLAM"
MAM0700,"MALAPPURAM,MALAPPURM"
