Code,"Entire District Coverage"
ABU0000,SIROHI
AJR0002,"AJMER, NAGAUR , BHILWARA"
ALR1200,"ALWAR ,DAUSA , BHARATPUR"
ALR0401,"ALWAR , BHARATPUR , JAIPUR"
BDH0001,"JAIPUR , SIKAR"
BLO0200,BARMER
BNW0200,BANSWARA
BRN0000,"BARAN , JHALAWAR"
BMR0301,"BARMER , JAISALMER"
BMR0200,BARMER
BAY0000,BHARATPUR
BEA0100,"AJMER, BHILWARA , PALI , NAGAUR , RAJSAMAND"
BEH0201,ALWAR
BTP0100,BHARATPUR
BTP0300,BHARATPUR
BHI0000,"BHILWARA , CHITTORGARH"
BHI0601,BHILWARA
BIH0003,BHILWARA
BWD0100,ALWAR
BIK0000,"BIKANER , NAGAUR , JODHPUR"
BUN0400,BUNDI
CHA0000,"JHALAWAR , KOTA"
CTI0001,"PRATAPGARH , CHITTORGARH"
COR0000,CHITTORGARH
CHU0500,CHURU
DAU0100,"DAUSA , JAIPUR"
DHO0200,DHOLPUR
DUN0000,"DUNGARPUR , BANSWARA"
GTY0000,"SAWAI MADHOPUR , KARAULI , DAUSA"
HIN0300,"KARAULI, DAUSA , BHARATPUR"
JAI0401,JAIPUR
JAI4900,JAIPUR
JAI4100,JAIPUR
JAI2500,JAIPUR
JAI2400,"JAIPUR , TONK"
JAI3200,"JAIPUR , TONK"
JAI2900,"JAIPUR , TONK"
JAI1001,JAIPUR
JAS0000,"JAISALMER, BARMER"
JHU0100,"JHUJHUNU , CHURU"
JOD1700,"JODHPUR , BARMER , SIROHI , JALORE"
JOD0101,JODHPUR
JOD0200,JODHPUR
JOD0300,"JODHPUR ,JAISALMER , BARMER , PALI , SIROHI , JALORE"
KRO0000,"RAJSAMAND , UDAIPUR"
KTH0100,ALWAR
KAI0600,"ALWAR , BHARATPUR"
KOT0000,"KOTA, BARAN , JHALAWAR , BUNDI , TONK , BHILWARA , SAWAI MADHOPUR"
KOT0700,"KOTA, BARAN , JHALAWAR , BUNDI , TONK , BHILWARA"
KUT0100,"JAIPUR , ALWAR"
KUT0000,"JAIPUR , ALWAR"
KUC0200,"JAIPUR , NAGAUR"
NIM0300,SIKAR
NIB0000,"CHITTORGARH , UDAIPUR"
PAL0200,"PALI , SIROHI"
PRA0200,PRATAPGARH
SDU0000,CHURU
SGW0000,"DUNGARPUR , UDAIPUR"
SAN0300,JALORE
SAN0400,JALORE
SDA0002,"CHURU , BIKANER"
SAW0000,"SAWAI MADHOPUR ,TONK , BUNDI"
SHU0200,"JAIPUR , ALWAR"
SHE0000,"SIROHI, JALORE , PALI"
SRI0100,SIKAR
SIK0800,SIKAR
SIK0100,SIKAR
SIK1400,"SIKAR , JHUJHUNU"
SIK0200,"SIKAR , JHUJHUNU"
SUJ0100,"CHURU , SIKAR , NAGAUR"
SUG0000,"HANUMANGARH , BIKANER , SRI GANGANAGAR, SRIGANGANAGAR"
UDA0000,"UDAIPUR , DUNGARPUR , BANSWARA , PRATAPGARH"
SGA0100,"SRI GANGANAGAR , HANUMANGARH"
BDR0000,HANUMANGARH
